Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
PONY CHASE|CACTUS BND|WEST COW PATH,PONY CHASE,WEST COW PATH,CACTUS BND,['2019-11-05'],Residential,C,F,F,2020.0,2018.0,2018.0,1735,1,
PONY CHASE|MUSTANG CHASE|SHETLAND CHASE,PONY CHASE,SHETLAND CHASE,MUSTANG CHASE,['2018-04-11'],Collector,B,D,D,2020.0,2018.0,2018.0,2308,1,
PONY CHASE|MUSTANG CHASE|WEST COW PATH,PONY CHASE,MUSTANG CHASE,WEST COW PATH,['2019-11-05'],Collector,C,F,F,2020.0,2018.0,2018.0,1735,1,
PONY CHASE|SHETLAND CHASE|TIMBER WOLF TRL,PONY CHASE,TIMBER WOLF TRL,SHETLAND CHASE,['2018-04-11'],Collector,B,C,C,2020.0,2018.0,2018.0,2308,1,
PONY LN|BRAIDED ROPE DR|DAPPLEGREY LN,PONY LN,DAPPLEGREY LN,BRAIDED ROPE DR,['2017-06-12'],Residential,C,B,B,2020.0,2018.0,2018.0,2611,1,
POQUITO ST|16TH ST E|17TH ST E,POQUITO ST,16TH ST E,17TH ST E,['2019-06-04'],Residential,B,C,C,2021.0,2018.0,2018.0,1889,1,
POQUITO ST|CORNELL ST|ROSEWOOD AVE,POQUITO ST,CORNELL ST,ROSEWOOD AVE,['2018-07-29'],Collector,C,C,C,2021.0,2018.0,2018.0,2199,1,
POQUITO ST|CORNELL ST|YALE ST,POQUITO ST,YALE ST,CORNELL ST,['2018-07-29'],Collector,A,B,B,2021.0,2018.0,2018.0,2199,1,
POQUITO ST|PENNSYLVANIA AVE|S L DAVIS AVE,POQUITO ST,S L DAVIS AVE,PENNSYLVANIA AVE,['2017-12-12'],Residential,D,F,F,2021.0,2018.0,2018.0,2428,1,
POQUITO ST|PEOPLES ST|PROSPECT AVE,POQUITO ST,PROSPECT AVE,PEOPLES ST,['2018-07-29'],Collector,D,F,F,2021.0,2018.0,2018.0,2199,1,
POQUITO ST|PEOPLES ST|YALE ST,POQUITO ST,PEOPLES ST,YALE ST,['2018-07-29'],Collector,D,D,D,2021.0,2018.0,2018.0,2199,1,
POQUITO ST|ROSEWOOD AVE|S L DAVIS AVE,POQUITO ST,ROSEWOOD AVE,S L DAVIS AVE,['2017-12-12'],Residential,C,F,F,2021.0,2018.0,2018.0,2428,1,
POQUONOCK RD|WINDSOR RD|WOODLAWN BLVD,POQUONOCK RD,WINDSOR RD,WOODLAWN BLVD,['2017-07-26'],Residential,C,C,C,2021.0,2018.0,2018.0,2567,1,
PORSCHE LN|HONEY DEW TER|STEELE RUN,PORSCHE LN,STEELE RUN,HONEY DEW TER,['2018-05-14'],Residential,B,C,B,2022.0,2019.0,2017.0,2275,1,
PORSCHE LN|JAYS LN|SMITH OAK TRL,PORSCHE LN,SMITH OAK TRL,JAYS LN,['2018-05-14'],Residential,B,B,B,2022.0,2019.0,2017.0,2275,1,
PORSCHE LN|JAYS LN|STEELE RUN,PORSCHE LN,JAYS LN,STEELE RUN,['2018-05-14'],Residential,B,B,B,2022.0,2019.0,2017.0,2275,1,
POST OAK ST|3RD ST S|701,POST OAK ST,701,3RD ST S,['2017-07-05'],Residential,D,D,D,2021.0,2019.0,2017.0,2588,1,
POST OAK ST|3RD ST S|BOULDIN AVE,POST OAK ST,3RD ST S,BOULDIN AVE,['2017-07-05'],Residential,D,C,C,2021.0,2019.0,2017.0,2588,1,
POST OAK ST|BOULDIN AVE|DAWSON RD,POST OAK ST,BOULDIN AVE,DAWSON RD,"['2017-07-05', '2017-07-05']",Residential,D,C,C,2021.0,2019.0,2017.0,2588,2,0.0
POSTVINE DR|CUL DE SAC|PARKS AT WOODLANDS DR,POSTVINE DR,CUL DE SAC,PARKS AT WOODLANDS DR,['2018-08-27'],Residential,F,D,D,2021.0,2018.0,2018.0,2170,1,
POSTVINE DR|ENGLISH GLADE DR|PARKS AT WOODLANDS DR,POSTVINE DR,PARKS AT WOODLANDS DR,ENGLISH GLADE DR,['2018-08-27'],Residential,D,D,D,2021.0,2018.0,2018.0,2170,1,
POTOMAC PATH|GRAYLEDGE DR|SHENANDOAH DR,POTOMAC PATH,GRAYLEDGE DR,SHENANDOAH DR,['2017-08-09'],Residential,C,D,D,2020.0,2018.0,2018.0,2553,1,
POTOMAC PATH|GRAYLEDGE DR|TECUMSEH DR,POTOMAC PATH,TECUMSEH DR,GRAYLEDGE DR,['2017-08-09'],Residential,F,D,D,2020.0,2018.0,2018.0,2553,1,
POWELL CIR|HAVANA ST|HAVANA ST,POWELL CIR,HAVANA ST,HAVANA ST,['2018-11-02'],Collector,F,F,F,2021.0,2019.0,2017.0,2103,1,
POWELL CIR|HAVANA ST|SOUTH PARK DR,POWELL CIR,HAVANA ST,SOUTH PARK DR,['2018-11-02'],Collector,D,F,F,2021.0,2019.0,2017.0,2103,1,
POWELL CIR|HAVANA ST|WILSON ST,POWELL CIR,HAVANA ST,WILSON ST,['2018-11-02'],Collector,D,F,F,2021.0,2019.0,2017.0,2103,1,
POWELL CIR|LIGHTSEY RD|SOUTH PARK DR,POWELL CIR,SOUTH PARK DR,LIGHTSEY RD,['2018-11-02'],Collector,C,C,D,2021.0,2019.0,2017.0,2103,1,
POWELL LN E|GEORGIAN DR|SAM RAYBURN DR,POWELL LN E,GEORGIAN DR,SAM RAYBURN DR,['2018-07-14'],Collector,B,C,C,2020.0,2018.0,2018.0,2214,1,
POWELL LN E|I 35 SVC RD SB  N|SAM RAYBURN DR,POWELL LN E,SAM RAYBURN DR,I 35 SVC RD SB  N,['2018-07-14'],Collector,C,C,C,2020.0,2018.0,2018.0,2214,1,
POWELL LN W|GEORGIAN DR|LAMAR BLVD N,POWELL LN W,GEORGIAN DR,LAMAR BLVD N,['2018-07-21'],Collector,D,C,C,2020.0,2018.0,2018.0,2207,1,
POWELL ST|5TH ST W|6TH ST W,POWELL ST,5TH ST W,6TH ST W,['2018-12-12'],Residential,B,C,C,2021.0,2018.0,2018.0,2063,1,
POWER PLANT DR|WALTER SEAHOLM DR|WEST AVE,POWER PLANT DR,WALTER SEAHOLM DR,WEST AVE,['2018-10-01'],Residential,B,A,A,2021.0,2018.0,2018.0,2135,1,
PRADO ST|PLEASANT VALLEY RD N|RAMOS ST,PRADO ST,PLEASANT VALLEY RD N,RAMOS ST,['2018-05-15'],Residential,B,D,D,2021.0,2018.0,2018.0,2274,1,
PRADO ST|RAMOS ST|TILLERY ST,PRADO ST,RAMOS ST,TILLERY ST,['2018-05-15'],Residential,B,C,C,2021.0,2018.0,2018.0,2274,1,
PRAIRIE DOG TRL|BRISTLE OAK TRL|HARDWOOD TRL,PRAIRIE DOG TRL,HARDWOOD TRL,BRISTLE OAK TRL,['2019-05-28'],Residential,B,C,C,2020.0,2018.0,2018.0,1896,1,
PRAIRIE DOVE CIR|PTARMIGAN DR|PTARMIGAN DR,PRAIRIE DOVE CIR,PTARMIGAN DR,PTARMIGAN DR,['2017-07-12'],Residential,B,A,A,2020.0,2018.0,2018.0,2581,1,
PRAIRIE DUNES DR|5128|SCIOTO CT,PRAIRIE DUNES DR,SCIOTO CT,5128,['2018-05-09'],Residential,C,D,D,2022.0,2019.0,2017.0,2280,1,
PRAIRIE DUNES DR|RIVER PLANTATION DR|SCIOTO CT,PRAIRIE DUNES DR,RIVER PLANTATION DR,SCIOTO CT,['2018-05-09'],Residential,C,B,B,2022.0,2019.0,2017.0,2280,1,
PRAIRIE HEN CV|1701|PRAIRIE HEN LN,PRAIRIE HEN CV,1701,PRAIRIE HEN LN,['2018-02-26'],Residential,C,B,B,2020.0,2018.0,2018.0,2352,1,
PRAIRIE HEN LN|GOLDEN PHEASANT DR|MORNING QUAIL DR,PRAIRIE HEN LN,GOLDEN PHEASANT DR,MORNING QUAIL DR,['2018-02-09'],Residential,C,C,C,2020.0,2018.0,2018.0,2369,1,
PRAIRIE HEN LN|GOLDEN PHEASANT DR|PTARMIGAN DR,PRAIRIE HEN LN,PTARMIGAN DR,GOLDEN PHEASANT DR,['2018-02-09'],Residential,C,C,C,2020.0,2018.0,2018.0,2369,1,
PRAIRIE HEN LN|GRACY FARMS LN|WOODWIND LN,PRAIRIE HEN LN,WOODWIND LN,GRACY FARMS LN,['2018-02-09'],Residential,B,C,C,2020.0,2018.0,2018.0,2369,1,
PRAIRIE HEN LN|MORNING QUAIL DR|PRAIRIE HEN CV,PRAIRIE HEN LN,MORNING QUAIL DR,PRAIRIE HEN CV,['2018-02-09'],Residential,B,C,C,2020.0,2018.0,2018.0,2369,1,
PRAIRIE HEN LN|PHEASANT ROOST|PRAIRIE HEN CV,PRAIRIE HEN LN,PRAIRIE HEN CV,PHEASANT ROOST,['2018-02-09'],Residential,A,C,C,2020.0,2018.0,2018.0,2369,1,
PRAIRIE HEN LN|PHEASANT ROOST|WOODWIND LN,PRAIRIE HEN LN,PHEASANT ROOST,WOODWIND LN,['2018-02-09'],Residential,A,C,C,2020.0,2018.0,2018.0,2369,1,
PRATOLINA DR|CUL DE SAC|ESPINA DR,PRATOLINA DR,ESPINA DR,CUL DE SAC,"['2019-07-27', '2019-07-27']",Residential,C,B,B,2022.0,2022.0,2019.0,1836,2,0.0
PRATT LN|BANKSIDE ST|FITZROY AVE,PRATT LN,BANKSIDE ST,FITZROY AVE,['2019-08-05'],Residential,B,C,C,2022.0,2019.0,2017.0,1827,1,
PRATT LN|BANKSIDE ST|LYNNBROOK DR,PRATT LN,LYNNBROOK DR,BANKSIDE ST,['2019-08-05'],Residential,C,D,D,2022.0,2019.0,2017.0,1827,1,
PRATT LN|LYNNBROOK DR|TAVISTOCK DR,PRATT LN,TAVISTOCK DR,LYNNBROOK DR,['2019-08-05'],Residential,C,C,C,2022.0,2019.0,2017.0,1827,1,
PRECIPICE CV|4809|PALISADE DR,PRECIPICE CV,PALISADE DR,4809,['2016-10-03'],Residential,C,C,C,2021.0,2018.0,2018.0,2863,1,
PREMIER PARK ST|DE|ZACHARY SCOTT ST,PREMIER PARK ST,ZACHARY SCOTT ST,DE,['2017-08-01'],Residential,F,D,F,2022.0,2019.0,2017.0,2561,1,
PRESSLER ST|6TH ST W|9TH ST W,PRESSLER ST,6TH ST W,9TH ST W,['2018-12-12'],Residential,D,C,C,2021.0,2018.0,2018.0,2063,1,
PRESTON TRAILS CV|2300|PRESTON TRAILS DR,PRESTON TRAILS CV,2300,PRESTON TRAILS DR,['2018-05-01'],Residential,D,C,C,2022.0,2019.0,2017.0,2288,1,
PRESTON TRAILS DR|INVERRARY CIR|PEBBLE BEACH DR,PRESTON TRAILS DR,INVERRARY CIR,PEBBLE BEACH DR,['2018-05-01'],Residential,C,B,B,2022.0,2019.0,2017.0,2288,1,
PRESTON TRAILS DR|INVERRARY CIR|PRESTON TRAILS CV,PRESTON TRAILS DR,PRESTON TRAILS CV,INVERRARY CIR,['2018-05-01'],Residential,C,D,D,2022.0,2019.0,2017.0,2288,1,
PRESTON TRAILS DR|PEBBLE BEACH DR|PRESTON TRAILS CV,PRESTON TRAILS DR,PEBBLE BEACH DR,PRESTON TRAILS CV,['2018-05-01'],Residential,B,B,B,2022.0,2019.0,2017.0,2288,1,
PRINCE ARN DR|701|SIR GAWAIN DR,PRINCE ARN DR,701,SIR GAWAIN DR,['2016-10-04'],Residential,C,D,D,2022.0,2019.0,2017.0,2862,1,
PRINCEWOOD PASS|MONARCH DR|PIPING ROCK TRL,PRINCEWOOD PASS,MONARCH DR,PIPING ROCK TRL,['2018-06-07'],Residential,C,C,C,2022.0,2019.0,2017.0,2251,1,
PROCK LN|ESTES AVE|LOTT AVE,PROCK LN,ESTES AVE,LOTT AVE,['2019-06-29'],Collector,C,D,D,2021.0,2018.0,2018.0,1864,1,
PROCK LN|ESTES AVE|RICHARDINE AVE,PROCK LN,RICHARDINE AVE,ESTES AVE,['2019-06-29'],Collector,C,D,D,2021.0,2018.0,2018.0,1864,1,
PROCK LN|RICHARDINE AVE|SARA DR,PROCK LN,SARA DR,RICHARDINE AVE,['2019-06-29'],Collector,C,C,C,2021.0,2018.0,2018.0,1864,1,
PROMONTORY POINT DR|BURLESON RD|CAVEN RD,PROMONTORY POINT DR,BURLESON RD,CAVEN RD,['2018-08-09'],Collector,D,D,C,2022.0,2019.0,2017.0,2188,1,
PROMONTORY POINT DR|CAVEN RD|WINNEBAGO LN,PROMONTORY POINT DR,CAVEN RD,WINNEBAGO LN,['2018-08-09'],Collector,B,C,C,2022.0,2019.0,2017.0,2188,1,
PROSPECT AVE|10TH ST E|11TH ST E,PROSPECT AVE,10TH ST E,11TH ST E,['2018-07-29'],Collector,F,F,F,2021.0,2018.0,2018.0,2199,1,
PROSPECT AVE|10TH ST E|9TH ST E,PROSPECT AVE,9TH ST E,10TH ST E,['2018-07-29'],Collector,F,D,D,2021.0,2018.0,2018.0,2199,1,
PROSPECT AVE|11TH ST E|TILLOTSON AVE,PROSPECT AVE,11TH ST E,TILLOTSON AVE,['2018-07-29'],Collector,F,F,F,2021.0,2018.0,2018.0,2199,1,
PROSPECT AVE|7TH ST E|8TH ST E,PROSPECT AVE,7TH ST E,8TH ST E,['2017-12-12'],Collector,D,F,F,2021.0,2018.0,2018.0,2428,1,
PROSPECT AVE|8TH ST E|9TH ST E,PROSPECT AVE,8TH ST E,9TH ST E,['2018-07-29'],Collector,F,D,D,2021.0,2018.0,2018.0,2199,1,
PROSPECT AVE|POQUITO ST|SWENSON AVE,PROSPECT AVE,SWENSON AVE,POQUITO ST,['2018-07-29'],Collector,F,F,F,2021.0,2018.0,2018.0,2199,1,
PROSPECT AVE|SWENSON AVE|TILLOTSON AVE,PROSPECT AVE,TILLOTSON AVE,SWENSON AVE,['2018-07-29'],Collector,C,D,D,2021.0,2018.0,2018.0,2199,1,
PROVENCIAL CV|6100|PROVENCIAL DR,PROVENCIAL CV,6100,PROVENCIAL DR,['2016-11-17'],Residential,F,D,D,2021.0,2018.0,2018.0,2818,1,
PROVENCIAL DR|KING CHARLES DR|PROVENCIAL CV,PROVENCIAL DR,PROVENCIAL CV,KING CHARLES DR,['2016-11-19'],Residential,C,C,C,2021.0,2018.0,2018.0,2816,1,
PROVENCIAL DR|PROVENCIAL CV|REGENCY DR,PROVENCIAL DR,REGENCY DR,PROVENCIAL CV,['2016-11-19'],Residential,D,D,D,2021.0,2018.0,2018.0,2816,1,
PROVINES|101|TURNER DR,PROVINES,101,TURNER DR,['2018-08-20'],Residential,F,C,C,2020.0,2018.0,2018.0,2177,1,
PROVINES|LAMAR BLVD N|MOTHERAL DR,PROVINES,MOTHERAL DR,LAMAR BLVD N,['2018-08-20'],Residential,C,C,C,2020.0,2018.0,2018.0,2177,1,
PROVINES|MOTHERAL DR|TURNER DR,PROVINES,TURNER DR,MOTHERAL DR,['2018-08-20'],Residential,D,C,C,2020.0,2018.0,2018.0,2177,1,
PTARMIGAN DR|BRAKER LN W|PRAIRIE DOVE CIR,PTARMIGAN DR,PRAIRIE DOVE CIR,BRAKER LN W,['2017-07-12'],Collector,F,D,D,2020.0,2018.0,2018.0,2581,1,
PTARMIGAN DR|KRAMER LN|PRAIRIE DOVE CIR,PTARMIGAN DR,KRAMER LN,PRAIRIE DOVE CIR,['2017-07-12'],Collector,D,C,C,2020.0,2018.0,2018.0,2581,1,
PTARMIGAN DR|PRAIRIE DOVE CIR|TAPPAN LN,PTARMIGAN DR,TAPPAN LN,PRAIRIE DOVE CIR,"['2017-07-12', '2017-07-12']",Collector,C,B,D,2020.0,2020.0,2018.0,2581,2,0.0
PUSCH RIDGE LOOP|7459|VERMILLION DR,PUSCH RIDGE LOOP,VERMILLION DR,7459,['2016-10-04'],Residential,C,B,B,2022.0,2019.0,2017.0,2862,1,
PUSCH RIDGE LOOP|DOS CABEZAS DR|TRIBORO TRL,PUSCH RIDGE LOOP,TRIBORO TRL,DOS CABEZAS DR,['2016-10-04'],Residential,B,B,B,2022.0,2019.0,2017.0,2862,1,
PUTNAM DR|HEARTHSTONE DR|PAYTON GIN RD,PUTNAM DR,HEARTHSTONE DR,PAYTON GIN RD,['2018-12-10'],Collector,B,C,C,2020.0,2018.0,2018.0,2065,1,
PUTNAM DR|PAYTON GIN RD|RESEARCH BLVD SVC RD SB,PUTNAM DR,PAYTON GIN RD,RESEARCH BLVD SVC RD SB,['2018-12-10'],Collector,B,C,C,2020.0,2018.0,2018.0,2065,1,
Q RANCH RD|DANWOOD DR|SIERRA LEON,Q RANCH RD,DANWOOD DR,SIERRA LEON,['2019-01-23'],Residential,C,D,D,2020.0,2018.0,2018.0,2021,1,
Q RANCH RD|JOLLYVILLE RD|WOODCREST DR,Q RANCH RD,WOODCREST DR,JOLLYVILLE RD,['2019-01-23'],Residential,C,C,C,2020.0,2018.0,2018.0,2021,1,
Q RANCH RD|SIERRA LEON|WOODCREST DR,Q RANCH RD,SIERRA LEON,WOODCREST DR,['2019-01-23'],Residential,C,D,D,2020.0,2018.0,2018.0,2021,1,
QUAIL BLVD|BIRD CREEK DR|FIELDWOOD DR,QUAIL BLVD,BIRD CREEK DR,FIELDWOOD DR,['2017-10-04'],Residential,B,B,B,2020.0,2018.0,2018.0,2497,1,
QUAIL BLVD|BIRD CREEK DR|MEARNS MEADOW BLVD,QUAIL BLVD,MEARNS MEADOW BLVD,BIRD CREEK DR,['2017-10-04'],Residential,A,C,C,2020.0,2018.0,2018.0,2497,1,
QUAIL BLVD|FIELDWOOD DR|MEARNS MEADOW BLVD,QUAIL BLVD,FIELDWOOD DR,MEARNS MEADOW BLVD,['2017-10-04'],Residential,A,C,C,2020.0,2018.0,2018.0,2497,1,
QUAIL CREST DR|CRIPPLE CREEK DR|GOLDEN QUAIL DR,QUAIL CREST DR,GOLDEN QUAIL DR,CRIPPLE CREEK DR,['2018-03-01'],Residential,B,C,C,2020.0,2018.0,2018.0,2349,1,
QUAIL PASS|BITTERN HOLW|HIDDEN QUAIL DR,QUAIL PASS,BITTERN HOLW,HIDDEN QUAIL DR,['2018-02-20'],Residential,D,D,D,2020.0,2018.0,2018.0,2358,1,
QUASSIA DR|CUL-DE-SAC|JABORANDI DR,QUASSIA DR,CUL-DE-SAC,JABORANDI DR,['2019-07-27'],Residential,F,C,B,2022.0,2019.0,2017.0,1836,1,
QUASSIA DR|ESPINA DR|WISTERIA VALLEY DR,QUASSIA DR,WISTERIA VALLEY DR,ESPINA DR,['2019-07-27'],Residential,C,C,C,2022.0,2019.0,2017.0,1836,1,
QUASSIA DR|JABORANDI DR|WISTERIA VALLEY DR,QUASSIA DR,JABORANDI DR,WISTERIA VALLEY DR,['2019-07-27'],Residential,D,B,B,2022.0,2019.0,2017.0,1836,1,
QUEENSWOOD DR|8901|COMBURG CASTLE WAY,QUEENSWOOD DR,8901,COMBURG CASTLE WAY,['2018-06-26'],Residential,B,C,C,2022.0,2019.0,2017.0,2232,1,
QUEENSWOOD DR|BARKWOOD DR|CROWNSPOINT DR,QUEENSWOOD DR,BARKWOOD DR,CROWNSPOINT DR,['2018-06-26'],Residential,C,B,B,2022.0,2019.0,2017.0,2232,1,
QUEENSWOOD DR|BARKWOOD DR|TOULOUSE DR,QUEENSWOOD DR,TOULOUSE DR,BARKWOOD DR,['2018-06-26'],Residential,C,C,C,2022.0,2019.0,2017.0,2232,1,
QUEENSWOOD DR|CHERISE LN|COMBURG CASTLE WAY,QUEENSWOOD DR,COMBURG CASTLE WAY,CHERISE LN,['2018-06-26'],Residential,C,C,C,2022.0,2019.0,2017.0,2232,1,
QUEENSWOOD DR|CHERISE LN|TOULOUSE DR,QUEENSWOOD DR,CHERISE LN,TOULOUSE DR,['2018-06-26'],Residential,C,C,C,2022.0,2019.0,2017.0,2232,1,
QUEENSWOOD DR|CROWNSPOINT DR|RAMBLEWOOD DR,QUEENSWOOD DR,CROWNSPOINT DR,RAMBLEWOOD DR,['2018-06-26'],Residential,C,C,C,2022.0,2019.0,2017.0,2232,1,
QUICK STREAM DR|8900|TRACE CREEK PASS,QUICK STREAM DR,8900,TRACE CREEK PASS,['2018-08-22'],Residential,F,F,F,2021.0,2018.0,2018.0,2175,1,
QUICK STREAM DR|PARKS AT WOODLANDS DR|SUN SHOWER BEND,QUICK STREAM DR,SUN SHOWER BEND,PARKS AT WOODLANDS DR,['2018-08-22'],Residential,D,F,F,2021.0,2018.0,2018.0,2175,1,
QUICK STREAM DR|SUN SHOWER BEND|TRACE CREEK PASS,QUICK STREAM DR,TRACE CREEK PASS,SUN SHOWER BEND,['2018-08-22'],Residential,F,F,F,2021.0,2018.0,2018.0,2175,1,
QUICK WATER CV|4901|SENDERO DR,QUICK WATER CV,4901,SENDERO DR,"['2017-05-01', '2017-05-01']",Residential,F,C,C,2021.0,2019.0,2017.0,2653,2,0.0
QUIMPER LN|7225|RIDGE OAK RD,QUIMPER LN,RIDGE OAK RD,7225,"['2017-05-08', '2019-11-01']",Residential,C,C,F,2022.0,2019.0,2017.0,1739,2,907.0
QUIMPER LN|JUMANO LN|RIDGE OAK RD,QUIMPER LN,JUMANO LN,RIDGE OAK RD,"['2017-05-08', '2019-11-01']",Residential,A,B,A,2022.0,2019.0,2017.0,1739,2,907.0
QUINTANA CV|CUL DE SAC|ESTANA LN,QUINTANA CV,ESTANA LN,CUL DE SAC,"['2018-03-27', '2019-11-01']",Residential,B,B,A,2022.0,2019.0,2017.0,1739,2,584.0
QUINTON DR|6406|LEEDS MOUNTAIN CV,QUINTON DR,6406,LEEDS MOUNTAIN CV,['2018-03-19'],Collector,D,C,C,2022.0,2019.0,2017.0,2331,1,
QUINTON DR|6515|LEEDS MOUNTAIN CV,QUINTON DR,LEEDS MOUNTAIN CV,6515,['2018-03-19'],Collector,B,C,D,2022.0,2019.0,2017.0,2331,1,
QUIRIN DR|ALOMAR CV|TESSA CV,QUIRIN DR,TESSA CV,ALOMAR CV,['2019-09-16'],Residential,D,C,C,2022.0,2019.0,2017.0,1785,1,
RABB GLEN ST|ANN ARBOR AVE|BLUEBONNET LN,RABB GLEN ST,BLUEBONNET LN,ANN ARBOR AVE,['2018-12-10'],Residential,C,D,D,2021.0,2019.0,2017.0,2065,1,
RABB RD|FORTUNE DR|RABB GLEN ST,RABB RD,FORTUNE DR,RABB GLEN ST,['2017-06-21'],Collector,D,C,C,2021.0,2019.0,2017.0,2602,1,
RABB RD|FORTUNE DR|WILKE DR,RABB RD,WILKE DR,FORTUNE DR,['2017-06-21'],Collector,D,D,C,2021.0,2019.0,2017.0,2602,1,
RABB RD|NORRIS DR|NORRIS DR,RABB RD,NORRIS DR,NORRIS DR,['2017-06-21'],Collector,F,F,C,2021.0,2019.0,2017.0,2602,1,
RABB RD|NORRIS DR|RIDGEVIEW ST,RABB RD,NORRIS DR,RIDGEVIEW ST,"['2017-06-21', '2017-06-21']",Collector,D,B,C,2021.0,2021.0,2019.0,2602,2,0.0
RABB RD|NORRIS DR|ROBERT E LEE RD,RABB RD,ROBERT E LEE RD,NORRIS DR,['2017-06-21'],Collector,D,C,,2019.0,2017.0,,2602,1,
RABB RD|NORRIS DR|RUNDELL PL,RABB RD,NORRIS DR,RUNDELL PL,['2017-06-21'],Collector,B,C,C,2021.0,2019.0,2017.0,2602,1,
RABB RD|RUNDELL PL|WILKE DR,RABB RD,RUNDELL PL,WILKE DR,['2017-06-21'],Collector,B,B,B,2021.0,2019.0,2017.0,2602,1,
RACHAEL CT|2315|ROXANNA DR,RACHAEL CT,ROXANNA DR,2315,['2018-06-06'],Residential,C,C,C,2022.0,2019.0,2017.0,2252,1,
RADAM CIR|1101|EMERALD FOREST DR,RADAM CIR,1101,EMERALD FOREST DR,['2019-11-19'],Residential,C,C,C,2022.0,2019.0,2017.0,1721,1,
RADAM LN|1ST ST S|JAMES CASEY ST,RADAM LN,1ST ST S,JAMES CASEY ST,['2019-10-26'],Collector,C,C,C,2022.0,2019.0,2017.0,1745,1,
RADAM LN|1ST ST S|RICHLAND ST,RADAM LN,RICHLAND ST,1ST ST S,['2018-10-29'],Collector,C,B,B,2022.0,2019.0,2017.0,2107,1,
RADAM LN|CONGRESS AVE S|RICHLAND ST,RADAM LN,CONGRESS AVE S,RICHLAND ST,['2018-10-29'],Collector,C,C,C,2022.0,2019.0,2017.0,2107,1,
RAGSDALE ST|JAMES WHEAT ST|MULLER BLVD,RAGSDALE ST,JAMES WHEAT ST,MULLER BLVD,['2018-09-06'],Residential,D,C,C,2021.0,2018.0,2018.0,2160,1,
RAIN LILY DR|ARCHELETA BLVD|TUBEROSE TER,RAIN LILY DR,TUBEROSE TER,ARCHELETA BLVD,['2018-03-26'],Residential,B,B,B,2022.0,2019.0,2017.0,2324,1,
RAIN LILY DR|STANDING CYPRESS DR|TUBEROSE TER,RAIN LILY DR,STANDING CYPRESS DR,TUBEROSE TER,['2018-03-26'],Residential,A,C,C,2022.0,2019.0,2017.0,2324,1,
RAINBOW RIDGE CIR|5110|MASON AVE,RAINBOW RIDGE CIR,MASON AVE,5110,"['2018-04-23', '2018-10-03']",Residential,C,C,C,2021.0,2018.0,2018.0,2133,2,163.0
RAINTREE BLVD|ORLAND BLVD|PHILCO DR,RAINTREE BLVD,PHILCO DR,ORLAND BLVD,['2019-10-14'],Residential,A,B,B,2022.0,2019.0,2017.0,1757,1,
RALEIGH AVE|BONNIE RD|BRIDLE PATH,RALEIGH AVE,BONNIE RD,BRIDLE PATH,['2018-07-02'],Residential,C,C,C,2021.0,2018.0,2018.0,2226,1,
RALEIGH AVE|BONNIE RD|ENFIELD RD,RALEIGH AVE,ENFIELD RD,BONNIE RD,['2018-07-02'],Residential,F,D,D,2021.0,2018.0,2018.0,2226,1,
RALEIGH AVE|BRIDLE PATH|CHERRY LN,RALEIGH AVE,BRIDLE PATH,CHERRY LN,['2018-07-02'],Residential,B,C,C,2021.0,2018.0,2018.0,2226,1,
RALEIGH AVE|CHERRY LN|CHERRY LN,RALEIGH AVE,CHERRY LN,CHERRY LN,['2016-10-04'],Residential,F,C,C,2021.0,2018.0,2018.0,2862,1,
RALEIGH AVE|CHERRY LN|CLEARVIEW DR,RALEIGH AVE,CHERRY LN,CLEARVIEW DR,['2016-10-04'],Residential,B,C,C,2021.0,2018.0,2018.0,2862,1,
RALPH C CRAIG LN|1809|EDDIE EGAN LN,RALPH C CRAIG LN,1809,EDDIE EGAN LN,['2018-04-02'],Residential,C,C,C,2022.0,2019.0,2017.0,2317,1,
RALPH C CRAIG LN|EDDIE EGAN LN|MARCUS ABRAMS BLVD,RALPH C CRAIG LN,EDDIE EGAN LN,MARCUS ABRAMS BLVD,['2018-04-02'],Residential,B,B,B,2022.0,2019.0,2017.0,2317,1,
RAMBLEWOOD DR|CROWNSPOINT DR|QUEENSWOOD DR,RAMBLEWOOD DR,CROWNSPOINT DR,QUEENSWOOD DR,['2018-06-26'],Residential,C,C,C,2022.0,2019.0,2017.0,2232,1,
RAMBLING RANGE|CACTUS BND|WEST COW PATH,RAMBLING RANGE,WEST COW PATH,CACTUS BND,['2019-10-31'],Residential,C,D,D,2020.0,2018.0,2018.0,1740,1,
RAMBLING RANGE|MUSTANG CHASE|WEST COW PATH,RAMBLING RANGE,MUSTANG CHASE,WEST COW PATH,['2018-04-30'],Residential,B,D,D,2020.0,2018.0,2018.0,2289,1,
RAMONA ST|BOULDIN AVE|DAWSON RD,RAMONA ST,BOULDIN AVE,DAWSON RD,['2017-07-05'],Residential,C,B,B,2021.0,2019.0,2017.0,2588,1,
